"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"100130311",2.14509953671845e-05,0.0034519196900317,0.37867223695134,0.0231612581684401,2.62252509916824e-05,26,1,"100130311"
"100130519",4.42386366188807e-05,0.000493131384290243,0.255460605951112,3.58091245843187e-06,7.10141971895321e-05,26,1,"100130519"
"100130733",1.05960606695281e-05,0.0312081718915111,0.388931675651887,0.189691885179423,9.8417630673084e-05,26,1,"100130733"
"100130742",2.7660098062143e-06,0.000493131384290243,0.317809943360604,0.000599211770458151,2.21466623461792e-05,26,1,"100130742"
"100130771",1.43769468937599e-05,0.0017611835153223,0.303134245165716,8.00432073941334e-05,6.60648934523739e-05,26,1,"100130771"
"100130933",0.000219296592111698,0.0725607608312786,0.419174102510894,0.422700198526688,0.000225354462611564,26,1,"100130933"
"100131017",1.93122615025109e-06,0.000845368087354702,0.350398969123259,0.00298863118254295,1.80941623683412e-05,26,1,"100131017"
"100131187",0.000135414444856394,0.0712222613596337,0.418764437599953,0.439283417173334,0.000214439782802826,26,1,"100131187"
"100131211",1.32160934964055e-07,0.00162028883409651,0.368718871417768,0.0180364797494515,1.67211994746526e-05,26,1,"100131211"
"100131378",0,7.04473406128919e-05,0.254229669717183,2.50837384999425e-06,1.14585329758786e-05,26,1,"100131378"
"100131390",1.07986610309452e-06,0.000140894681225784,0.178822101096455,3.19148265143781e-11,3.15471998502057e-05,26,1,"100131390"
"100131755",1.68215497047886e-07,0.000211342021838676,0.298079558150811,2.29102118967017e-05,1.70134068706478e-05,26,1,"100131755"
"100131801",1.36416542076335e-05,0.00281789362451567,0.342256862080651,0.00328570753781972,3.64762818733937e-05,26,1,"100131801"
"100132074",0.000422971511582758,0.000352236703064459,0.232187720652227,2.61179987711578e-07,8.37116457035511e-05,26,1,"100132074"
"100132247",0.00157835754289963,0.0181049665375132,0.369103865932287,0.00271230760078437,0.000387772269013693,26,1,"100132247"
"100132285",0.00134933494761852,0.00162028883409651,0.215276403331151,1.70533716247473e-07,0.000247991092482686,26,1,"100132285"
"100132386",1.16439591085549e-06,0.000211342021838676,0.181846240901258,5.9018814700836e-10,3.80768995135457e-05,26,1,"100132386"
"100132406",0.000160589708398272,0.00281789362451567,0.325738902070999,0.000536459994399555,6.00338298255898e-05,26,1,"100132406"
"100133093",4.66780209560907e-07,0.000281789362451567,0.302194866534163,0.000245444999680865,1.30261698121101e-05,26,1,"100133093"
"100133941",5.48334744980505e-05,0.0393800634026066,0.405169202555947,0.218195866451461,0.000129007202926093,26,1,"100133941"
