"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"100128927",0.000160565082114616,0.0113270611537509,0.331489667934615,0.105507647268322,7.59390853016247e-05,14,1,"100128927"
"100129128",9.43036144209928e-09,0.000185689527110671,0.300329725601237,5.14902044713941e-05,1.39637972857251e-05,14,1,"100129128"
"100129271",3.81904202516979e-07,0.000928447635553355,0.312526654518668,0.000178426112109478,3.48419027444429e-05,14,1,"100129271"
"100129278",1.65125457795477e-06,0.000742758108442684,0.288629894194103,2.09549537867651e-05,3.05828730285049e-05,14,1,"100129278"
"100129361",0,6.18965090368903e-05,0.213799779861286,1.19204904751785e-05,1.0566855177129e-05,14,1,"100129361"
"100129480",0.00843722889772219,0.120450606585789,0.355964761210837,0.867845918167441,0.000824668587580338,14,1,"100129480"
"100129520",0.000271839732729144,0.000928447635553355,0.288516258343922,8.87343698725986e-06,6.83896286606067e-05,14,1,"100129520"
"100129543",3.71812325854063e-08,0.000123793018073781,0.225391100113241,3.41586570403376e-07,1.68600159327285e-05,14,1,"100129543"
"100129583",0.000609876111322597,0.0297103243377074,0.33295470973338,0.330228455846166,0.000152934268706233,14,1,"100129583"
"100129654",1.5422554965256e-05,0.00451844515969299,0.322898515892567,0.000331613386716346,0.000121612119623672,14,1,"100129654"
"100129792",7.05355517786652e-08,0.000371379054221342,0.299448355281487,0.0061018768911762,1.24289811016288e-05,14,1,"100129792"
"100129842",2.30090056772956e-07,0.000123793018073781,0.255086864339736,1.82391128596737e-06,1.32670191131605e-05,14,1,"100129842"
"100129969",1.88972148202473e-05,0.00241396385243872,0.315283074215312,0.000135571578018485,8.29391629369794e-05,14,1,"100129969"
"100130274",9.94950397953712e-05,0.00656102995791037,0.355752681053886,0.00169240726010087,0.000162002814152895,14,1,"100130274"
"100130311",4.6952313925068e-06,0.00222827432532805,0.304873205877347,9.5740028380336e-06,2.79875559779213e-05,14,1,"100130311"
"100130348",0.000105530776305512,0.00612775439465214,0.327091237395768,0.000436263144909141,0.000164249642463905,14,1,"100130348"
"100130519",0.000231444763311536,0.00798464966575885,0.329060701310365,0.000431351710489913,0.000239211301802887,14,1,"100130519"
"100130613",7.78464330648931e-05,0.0038375835602872,0.353064844622561,0.00244619429320211,9.94116922246314e-05,14,1,"100130613"
"100130733",2.91400778522218e-06,0.0133077494429314,0.295859942743889,5.72903368646532e-05,7.80798324344901e-05,14,1,"100130733"
"100130742",7.61150929070377e-07,0.000185689527110671,0.256002286585366,3.76890206719263e-07,1.8145205685745e-05,14,1,"100130742"
"100130771",4.85347184701023e-07,0.000247586036147561,0.254230071749586,3.20975735400558e-07,1.99428945116174e-05,14,1,"100130771"
"100130827",1.86499734371191e-07,0.000309482545184452,0.248405287972636,1.51059800252971e-07,1.34410473606416e-05,14,1,"100130827"
"100130890",7.61323358272436e-08,0.000123793018073781,0.236320194661468,0.000485859093064944,1.21244085699031e-05,14,1,"100130890"
"100130933",0.000399011696147192,0.0387472146570933,0.335483602463792,0.411749847836053,0.00020826902992245,14,1,"100130933"
"100130958",0,6.18965090368903e-05,0.24950476662127,5.06284803632309e-07,1.20345529597355e-05,14,1,"100130958"
"100131017",2.99571961722199e-05,0.000557068581332013,0.333298877426557,6.94520469414311e-05,2.24744460721782e-05,14,1,"100131017"
"100131137",5.95824151557369e-08,0.000185689527110671,0.287241434603667,1.49993350296402e-05,1.51799512819407e-05,14,1,"100131137"
"100131187",0.000186011586375853,0.0368903193859866,0.333844114967282,0.418066445184969,0.000188065674457006,14,1,"100131187"
"100131211",5.02823978408662e-07,0.000309482545184452,0.274927098787538,2.26666545903697e-06,1.25449513602409e-05,14,1,"100131211"
"100131378",1.1852527237116e-05,0.000557068581332013,0.274276964954066,8.27530404630528e-05,1.92623629071424e-05,14,1,"100131378"
"100131390",0,6.18965090368903e-05,0.240993751681665,5.59269381800007e-07,1.10575161274236e-05,14,1,"100131390"
