"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"100131187",8.88802275978554e-05,0.0707656612529002,0.391946954166983,0.583923554427395,0.000175682387215262,15,1,"100131187"
"100131211",2.77385322715726e-06,0.000580046403712297,0.373883443580706,0.00266602375685338,1.24852833274333e-05,15,1,"100131211"
"100131439",0.000263310585126695,0.0205594225315803,0.384435894253444,0.00280944534649618,0.000136171077207567,15,1,"100131439"
"100131801",5.51977772110513e-05,0.00161124001031194,0.337231077432279,0.000607562075499042,4.39444902813535e-05,15,1,"100131801"
"100132074",0.000128674972684488,0.000966744006187162,0.306667194709016,1.98684307648727e-05,2.35244187012347e-05,15,1,"100132074"
"100132247",0.000351990131172072,0.000580046403712297,0.288661907513373,2.27959338589823e-06,5.57002565626761e-05,15,1,"100132247"
"100132386",3.45160826248709e-06,0.00940964166022171,0.373009947253065,0.00100180246409884,5.67396953390357e-05,15,1,"100132386"
"100132406",1.60001376941896e-05,0.000322248002062387,0.268647654732168,4.44466933519671e-07,2.53017251768796e-05,15,1,"100132406"
"100133941",2.82923115305881e-05,0.00670275844289765,0.377391134829544,0.0533164337173744,2.95946770101768e-05,15,1,"100133941"
"100134934",1.80967810245647e-05,0.00154679040989946,0.336359490041917,0.00221603532918733,2.88255736764088e-05,15,1,"100134934"
"100137049",0.000554201738025467,0.00238463521526167,0.323555834116787,0.000800351584604195,9.53384180843097e-05,15,1,"100137049"
"100141515",5.68920380911303e-06,0.0106341840680588,0.368922556516353,0.00115077315244944,6.2863007938581e-05,15,1,"100141515"
"100144748",2.57823467305666e-08,0.000128899200824955,0.289103772704363,0.000778505596349373,1.14372812218553e-05,15,1,"100144748"
"10014",3.84639539305219e-05,0.0019979376127868,0.35684331797235,0.00373260409538876,2.33943831100024e-05,15,1,"10014"
"100151643",3.01206426622424e-05,0.00876514565609693,0.355932982464204,0.000241728809758583,7.27026696261508e-05,15,1,"100151643"
"10015",0.000231931998119879,0.0712168084557876,0.392224895529948,0.562250314635429,0.000185263847339775,15,1,"10015"
"10016",1.15660631699293e-07,0.00025779840164991,0.306576134294085,0.000742267020057311,1.2151441011635e-05,15,1,"10016"
"100170229",0.000129705000419358,0.000322248002062387,0.245790283927693,7.68402664731183e-08,4.06060897471316e-05,15,1,"100170229"
"100170765",4.85834501618515e-08,0.000128899200824955,0.269095774256325,5.93219562656759e-07,1.62666866930512e-05,15,1,"100170765"
"10017",7.41482451120345e-06,0.00025779840164991,0.322303385985724,0.00178804471185383,1.11186970854628e-05,15,1,"10017"
"100188893",0.00029692542143299,0.00348027842227378,0.330142826689405,0.000146820246284026,9.60736027711733e-05,15,1,"100188893"
"100190949",0.000972525892324822,0.0712168084557876,0.374951578539609,0.477010248237998,0.000254410881106066,15,1,"100190949"
"10019",1.16714893920062e-05,0.0091518432585718,0.35646549739907,0.0736853694530144,3.41406174534293e-05,15,1,"10019"
"1001",0.000362566128455514,0.00489816963134829,0.328274370985862,0.00496978232377588,8.79344127845222e-05,15,1,"1001"
"10020",6.51940353434813e-07,0.0025779840164991,0.339084360563134,0.0179128723075302,1.67474651817726e-05,15,1,"10020"
"10021",1.7614078722971e-05,0.0207527713328177,0.385152947028102,0.00156574964968919,0.000110521114476813,15,1,"10021"
"10022",0.000245444233394942,0.000837844805362207,0.283525254929242,0.00116513638972711,3.3657996557662e-05,15,1,"10022"
"10024",2.44007151881716e-08,0.000773395204949729,0.285637876021321,4.68929226307223e-06,1.7352156112657e-05,15,1,"10024"
"10025",4.04156517282927e-09,0.00025779840164991,0.295131014768938,0.000277078741042188,1.18089537659688e-05,15,1,"10025"
"10026",0.000117103827035732,0.00373807682392369,0.369142394050627,0.000669096834396082,3.67690626073283e-05,15,1,"10026"
"100271927",0.00103575263160438,0.00270688321732405,0.323191218514577,0.000620816798347043,0.000135880130605151,15,1,"100271927"
"100272147",0,6.44496004124774e-05,0.242689691917134,1.37362975904034e-07,1.25816480769823e-05,15,1,"100272147"
"100287482",0,6.44496004124774e-05,0.279004828132882,0.00019309980911289,9.86970651331005e-06,15,1,"100287482"
"100287932",0.000661551441530285,0.0100541376643465,0.386286540955802,0.00117463793585836,0.000105494865949248,15,1,"100287932"
"100288072",0.00228735122493155,0.115429234338747,0.427628672409985,0.00662877198036353,0.000691104787112358,15,1,"100288072"
"100288142",0.00304799396468523,0.0207527713328177,0.378655256723716,0.039093547638705,0.000339119720786855,15,1,"100288142"
"100288332",4.57923794552078e-08,0.000193348801237432,0.308192871783646,7.45115179540438e-05,1.07031216519495e-05,15,1,"100288332"
"100288797",0.000109476289636704,0.0296468161897396,0.391917198096973,0.00212115509542492,0.000159512323601711,15,1,"100288797"
"100288814",1.90323873594659e-05,0.00225573601443671,0.337106288500468,9.78861585106133e-05,2.75578903548105e-05,15,1,"100288814"
"100289635",5.41126392043617e-07,0.000322248002062387,0.290824757755577,4.90674145034441e-05,1.59996565784218e-05,15,1,"100289635"
"100289678",4.52562373568388e-05,0.00270688321732405,0.377685648091696,0.00103467599389672,2.9487302811385e-05,15,1,"100289678"
"100293516",0,6.44496004124774e-05,0.250412314458494,5.53580599813395e-07,1.1080282644484e-05,15,1,"100293516"
"100293534",0.000129120965947904,0.00135344160866203,0.327081881349131,0.0028079633640983,2.59940417727275e-05,15,1,"100293534"
"1002",2.50491885189804e-05,0.0193993297241557,0.392264633621236,0.00200438829991114,0.0001053178154342,15,1,"1002"
"100302736",5.73578749684515e-05,0.00103119360659964,0.322189398352334,0.000381394923914368,3.65086384259151e-05,15,1,"100302736"
"100303755",1.62367471613592e-05,0.00438257282804847,0.359652585866561,0.017482072658855,3.07089501689035e-05,15,1,"100303755"
"100310846",0.000556738579835589,0.0117298272750709,0.385498083337482,0.0217122030992956,9.14153182432731e-05,15,1,"100310846"
"100316904",9.30001214266378e-05,0.00315803042021139,0.340545770389428,0.00362174353127446,4.30685961971722e-05,15,1,"100316904"
"10036",0.000130908069089583,0.000837844805362207,0.303529780687141,8.43278447222757e-05,2.98492584475723e-05,15,1,"10036"
"100381270",1.80712284931713e-06,0.000128899200824955,0.276228016979988,3.29534639729381e-05,1.32759206372223e-05,15,1,"100381270"
"10038",3.48116898963636e-05,0.00502706883217324,0.37367595608638,0.00115179344029786,3.97849242466364e-05,15,1,"10038"
"10039",5.97480387763363e-09,0.000193348801237432,0.311384108090719,0.00108697560811827,1.08397335768198e-05,15,1,"10039"
"1003",1.96525269595051e-05,0.0422144882701727,0.377179736970287,0.363781486297096,0.000105696925754387,15,1,"1003"
